Adagia Restaurant,PmCzpKyHhBN1RoTEv6Edag,UC Campus Area,Mediterranean,37.8691421,-122.2542777,3.5,130
Aki Japanese Restaurant,a4QUSAFVvTu7Gv0oegzbXQ,UC Campus Area,Japanese,37.8751965,-122.2598181,3,37
Alborz,HXni0_SFPT1jAoH-Sm78Jg,Downtown Berkeley,Persian/Iranian,37.8701999,-122.266645,3.5,172
Ann's Kitchen,WGSy8QlY1vn5lpCNJTOLxA,Telegraph Ave,Breakfast & Brunch,37.8651779,-122.2586396,3.5,234
Asiana Garden Restaurant,r5zl6fxbtQr-tD7G0fePIQ,UC Campus Area,Vegetarian,37.8754053,-122.2600086,2,8
Azerbaijan Cuisine,FYDP6_7CNfEvuSUEVLZj3g,Downtown Berkeley,Persian/Iranian,37.8698215,-122.2659886,3,37
Babette,6QZR4ToHKlse0yhqpU5ijg,Telegraph Ave,Coffee & Tea,37.8681313,-122.2565107,4,26
Bagel Street Cafe,11pH-tGFM7Wbli31mKjRMQ,Downtown Berkeley,Bagels,37.870489,-122.2666254,4,58
Bancroft Cafe,Z61bPo2-Myz1-7Xx00wxlA,Telegraph Ave,Sandwiches,37.8686742,-122.2585531,3.5,6
Bayking Doughnuts & Pastries,0neJ-fo4UDYJN5GAag3DEw,Telegraph Ave,Bakeries,37.86561,-122.2586856,3,34
Bear Market,7PIS2eoI0R2OTFhLc674rQ,Telegraph Ave,Grocery,37.867417,-122.260408,3.5,8
Beard Papa's,M2IeCCp9GeLAUKJf-hskuw,Telegraph Ave,Desserts,37.8670217,-122.2587134,3,69
Bear's Ramen House,9N684D-RFrQC0V4K0XvdxQ,Telegraph Ave,Korean,37.8680531,-122.2580151,3.5,225
Berkel Berkel Restaurant,i_ihNW9GViqCtGXg1tkYOA,Telegraph Ave,Korean,37.8663759,-122.2587181,3,106
Berkeley Floor Cafe,MjHULXYJDc9XMM2r24oddg,UC Campus Area,Cafes,37.8679837,-122.2648949,4,20
Berkeley Market,IrC-uyc5fm3QugOk9o1jQw,Telegraph Ave,Grocery,37.867451,-122.258631,2,3
Berkeley Student Food Collective,QtgDSWNKG_Ip8WU2MB7cdQ,Telegraph Ave,Specialty Food,37.8684351,-122.2606426,4.5,20
Berkeley Thai House,tR7wIIvJsLqI8keoLf8tpg,Telegraph Ave,Thai,37.8670609,-122.2583894,3,287
Blakes On Telegraph,4qTAwAN1vxszH-Lr4mnRKA,Telegraph Ave,Arts & Entertainment,37.8674339,-122.258815,3,269
Blondie's Pizza,WqAtgHTxgS-B8J6iHc4eeA,Telegraph Ave,Pizza,37.8680339,-122.2591966,3.5,358
Boba Cafe,4Zv_QnvG3_lDFpmvhBXPYA,Telegraph Ave,Restaurants,37.8683059,-122.260181,3.5,6
Bongo Burger,8PE1KtG_ZMxcgqCseHhmLA,Downtown Berkeley,Burgers,37.870404,-122.266394,3.5,110
Bongo Burger,G3d-xJF_Rt-P_za2eZ1q-Q,Telegraph Ave,Burgers,37.8652379,-122.2582112,4,288
